                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5404,                 1.2653,                0.91768,                0.37343,                 0.3728,                 0.3125,                0.13509,                 1.9053,                 1.3113,                0.95839,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.5214,                 1.2414,                0.91922,                 0.3583,                0.34318,                0.29784,                0.13058,                 1.9227,                 1.3391,                0.95745,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.5272,                 1.2509,                0.91988,                0.40901,                0.36208,                0.31536,                0.13832,                 1.8971,                 1.3003,                 0.9608,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.5224,                 1.2384,                 0.9205,                0.41412,                0.35552,                 0.2984,                 0.1306,                 1.9148,                 1.3286,                0.95874,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.5288,                  1.233,                0.91492,                0.37912,                0.34115,                0.29916,                0.12849,                 1.9186,                 1.3256,                0.95611,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.4999,                 1.2177,                0.91506,                0.37332,                0.34187,                0.31246,                0.13815,                 1.9166,                 1.2812,                0.96362,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.4971,                 1.2023,                0.92225,                0.37765,                0.36907,                0.31342,                0.13769,                   1.89,                 1.2979,                0.95837,               0.000755,               0.000755,               0.000755
                     42,                 1.4829,                 1.2088,                0.91394,                0.40322,                 0.3581,                0.30471,                0.12874,                 1.9215,                 1.3214,                0.95722,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.4975,                 1.1954,                0.91103,                0.36708,                0.34607,                0.30211,                0.13218,                 1.9058,                 1.3034,                0.95476,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.4811,                 1.1847,                0.91239,                0.34434,                0.36649,                0.30929,                0.13531,                 1.8908,                 1.3113,                0.95413,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.4929,                 1.2129,                0.91261,                0.37796,                0.33553,                0.29727,                0.12795,                 1.9186,                 1.3104,                 0.9586,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.4431,                 1.1402,                0.90408,                0.33996,                 0.3565,                0.30027,                0.13017,                 1.9183,                 1.2922,                0.95523,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.4676,                 1.1609,                0.90692,                0.41102,                0.35521,                0.31108,                 0.1332,                 1.8951,                 1.2788,                 0.9549,             0.00068075,             0.00068075,             0.00068075
                     48,                   1.46,                 1.1617,                 0.9076,                0.38887,                0.35666,                0.30177,                0.13089,                 1.8868,                 1.3044,                0.95499,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.4738,                 1.1843,                0.91141,                0.39255,                0.37669,                0.31267,                  0.134,                 1.8783,                 1.2764,                0.95342,               0.000656,               0.000656,               0.000656
